iter	Passed	Remaining
0	64	12777
1	68	6767
2	72	4784
3	76	3767
4	80	3139
5	84	2730
6	88	2443
7	92	2227
8	95	2037
9	99	1891
10	103	1776
11	107	1691
12	111	1601
13	115	1529
14	118	1458
15	121	1402
16	125	1348
17	128	1303
18	132	1263
19	136	1229
20	141	1203
21	144	1170
22	148	1140
23	151	1111
24	154	1084
25	158	1057
26	161	1035
27	164	1012
28	168	992
29	171	973
30	176	960
31	180	945
32	183	926
33	186	911
34	190	895
35	193	880
36	196	866
37	200	855
38	204	842
39	208	832
40	211	820
41	214	808
42	218	796
43	221	785
44	225	775
45	228	764
46	231	754
47	234	744
48	238	736
49	242	728
50	246	720
51	249	711
52	253	702
53	257	694
54	260	686
55	263	678
56	266	669
57	270	662
58	274	655
59	278	649
60	282	643
61	285	636
62	289	629
63	292	621
64	295	614
65	299	608
66	302	601
67	306	595
68	310	589
69	314	583
70	317	576
71	321	571
72	325	566
73	329	560
74	333	555
75	337	551
76	341	545
77	345	539
78	348	534
79	351	527
80	355	522
81	358	516
82	362	510
83	366	505
84	370	500
85	374	496
86	378	491
87	381	485
88	384	480
89	388	474
90	391	469
91	394	463
92	398	458
93	402	453
94	406	449
95	410	444
96	413	439
97	417	434
98	420	428
99	423	423
100	427	418
101	430	413
102	434	408
103	438	404
104	442	400
105	445	395
106	449	390
107	452	385
108	456	380
109	459	375
110	462	370
111	465	365
112	469	361
113	473	356
114	477	352
115	481	348
116	485	344
117	488	339
118	492	335
119	495	330
120	499	326
121	504	322
122	507	317
123	511	313
124	514	308
125	518	304
126	522	300
127	526	296
128	530	292
129	534	287
130	538	283
131	542	279
132	545	274
133	549	270
134	552	266
135	555	261
136	559	257
137	562	252
138	566	248
139	570	244
140	574	240
141	578	236
142	581	231
143	584	227
144	587	223
145	591	218
146	594	214
147	598	210
148	603	206
149	606	202
150	610	198
151	614	194
152	618	189
153	621	185
154	625	181
155	628	177
156	632	173
157	636	169
158	640	165
159	644	161
160	647	156
161	651	152
162	654	148
163	658	144
164	661	140
165	665	136
166	669	132
167	673	128
168	677	124
169	680	120
170	684	116
171	687	111
172	691	107
173	694	103
174	698	99
175	702	95
176	705	91
177	709	87
178	713	83
179	716	79
180	720	75
181	723	71
182	727	67
183	731	63
184	735	59
185	739	55
186	742	51
187	745	47
188	749	43
189	752	39
190	756	35
191	760	31
192	763	27
193	767	23
194	771	19
195	774	15
196	778	11
197	781	7
198	785	3
199	788	0
